"subj_id","certain","stimuli","condition"
695747,5,"f_liveliness","fluent"
695747,5,"s_elegant","sil"
695747,6,"s_liveliness","sil"
695747,4,"u_elegant","um"
695747,7,"f_dynamic","fluent"
695748,5,"u_vintage","um"
695748,6,"s_serene","sil"
695748,7,"f_serene","fluent"
695748,5,"s_tension","sil"
695748,7,"f_tension","fluent"
695748,5,"u_elegant","um"
695748,5,"s_elegant","sil"
695748,7,"f_balance","fluent"
695748,6,"c_vintage","click"
695748,6,"s_texture","sil"
695748,7,"f_dynamic","fluent"
695748,5,"u_imagination","um"
695748,5,"u_serene","um"
695748,7,"f_texture","fluent"
695748,6,"s_imagination","sil"
695748,5,"c_imagination","click"
695748,7,"f_imagination","fluent"
695748,4,"u_tension","um"
695748,7,"f_liveliness","fluent"
695748,5,"u_dynamic","um"
